name,     lon,            lat
300,    -7.78500E+01,    3.82500E+01
301,    -7.77500E+01,    3.82000E+01
302,    -7.77800E+01,    3.83000E+01
303,    -7.78200E+01,    3.84000E+01
304,    -7.78500E+01,    3.85100E+01
305,    -7.77400E+01,    3.84500E+01
306,    -7.76200E+01,    3.82500E+01
307,    -7.75600E+01,    3.84000E+01
308,    -7.76500E+01,    3.85000E+01
309,    -7.76600E+01,    3.86000E+01
310,    -7.76600E+01,    3.86700E+01
311,    -7.75200E+01,    3.85800E+01
312,    -7.75700E+01,    3.86500E+01
313,    -7.80200E+01,    3.80000E+01
314,    -7.82824E+01,    3.76618E+01
315,    -7.82141E+01,    3.76618E+01
316,    -7.81458E+01,    3.76618E+01
317,    -7.80775E+01,    3.76618E+01
318,    -7.80092E+01,    3.76618E+01
319,    -7.79408E+01,    3.76618E+01
320,    -7.78725E+01,    3.76618E+01
321,    -7.78042E+01,    3.76618E+01
322,    -7.77359E+01,    3.76618E+01
323,    -7.76676E+01,    3.76618E+01
324,    -7.82824E+01,    3.77158E+01
325,    -7.82141E+01,    3.77158E+01
326,    -7.81458E+01,    3.77158E+01
327,    -7.80775E+01,    3.77158E+01
328,    -7.80092E+01,    3.77158E+01
329,    -7.79408E+01,    3.77158E+01
330,    -7.78725E+01,    3.77158E+01
331,    -7.78042E+01,    3.77158E+01
332,    -7.77359E+01,    3.77158E+01
333,    -7.76676E+01,    3.77158E+01
334,    -7.82824E+01,    3.77699E+01
335,    -7.82141E+01,    3.77699E+01
336,    -7.81458E+01,    3.77699E+01
337,    -7.80775E+01,    3.77699E+01
338,    -7.80092E+01,    3.77699E+01
339,    -7.79408E+01,    3.77699E+01
340,    -7.78725E+01,    3.77699E+01
341,    -7.78042E+01,    3.77699E+01
342,    -7.77359E+01,    3.77699E+01
343,    -7.76676E+01,    3.77699E+01
344,    -7.82824E+01,    3.78239E+01
345,    -7.82141E+01,    3.78239E+01
346,    -7.81458E+01,    3.78239E+01
347,    -7.80775E+01,    3.78239E+01
348,    -7.80092E+01,    3.78239E+01
349,    -7.79408E+01,    3.78239E+01
350,    -7.78725E+01,    3.78239E+01
351,    -7.78042E+01,    3.78239E+01
352,    -7.77359E+01,    3.78239E+01
353,    -7.76676E+01,    3.78239E+01
354,    -7.82824E+01,    3.78780E+01
355,    -7.82141E+01,    3.78780E+01
356,    -7.81458E+01,    3.78780E+01
357,    -7.80775E+01,    3.78780E+01
358,    -7.80092E+01,    3.78780E+01
